URLLength,DomainLength,IsDomainIP,TLDLength,TLDLegitimateProb,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,CharContinuationRate,URLCharProb,IsHTTPS,HasValidSSL,HasHyphen,HasSuspiciousTLD,IsShortened,HasAtSymbol,HasDoubleSlash,label
35,27,0,3,0.52,29,0.8286,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9667,0.8056,0,1,0,0,0,0,0,0
39,31,0,2,0.15,33,0.8462,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9706,0.825,0,1,0,0,0,0,0,0
42,34,0,2,0.4,31,0.7381,0,0.0,0,0,0,5,0.119,1,0,0,0.0,0.9688,0.7209,0,1,1,0,0,0,0,0
35,26,0,3,0.15,27,0.7714,0,0.0,0,0,0,2,0.0571,1,0,0,0.0,0.9643,0.75,1,0,1,0,0,0,0,0
55,20,0,2,0.4,42,0.7636,4,0.0727,0,0,0,2,0.0364,1,0,0,0.0,0.8936,0.75,1,1,0,0,0,0,0,0
53,13,0,2,0.15,35,0.6604,10,0.1887,0,0,0,0,0.0,1,0,0,0.0,0.7609,0.6481,1,0,0,0,0,0,0,0
52,16,0,3,0.52,38,0.7308,6,0.1154,0,0,0,1,0.0192,0,0,0,0.0,0.8444,0.717,1,1,0,0,0,0,0,0
92,19,0,3,0.52,51,0.5543,29,0.3152,0,0,0,4,0.0435,0,0,0,0.0,0.6296,0.5484,1,1,0,0,0,0,0,0
118,13,0,2,0.15,63,0.5339,41,0.3475,1,1,0,6,0.0508,1,0,0,0.0,0.6,0.5294,1,0,0,0,0,0,0,0
47,23,0,2,0.4,35,0.7447,4,0.0851,0,0,0,1,0.0213,1,0,0,0.0,0.875,0.7292,1,1,0,0,0,0,0,0
46,13,0,2,0.15,28,0.6087,10,0.2174,0,0,0,0,0.0,1,0,0,0.0,0.7179,0.5957,1,0,0,0,0,0,0,0
87,23,0,3,0.52,43,0.4943,32,0.3678,0,0,0,4,0.046,0,0,0,0.0,0.5658,0.4886,1,0,0,0,0,0,0,0
101,43,0,3,0.38,67,0.6634,20,0.198,0,0,0,6,0.0594,1,0,0,0.0,0.7614,0.6569,1,1,1,0,0,0,0,0
